Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,Svy_Completed,mother_edu,bw_less_25,bw_equal_25,bw_available,low_bw,iron_supp,WMWEIGHT
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Middle,"Other, DK, Missing",Elderly HoH: NO,Female,Completed,Mother Edu: None/ECE,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,0,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Rural,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Higher,,,0,7.563025210084033,100,1.190537894277256
Total,2000,Rural,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Secondary,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,0,1.190537894277256
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,100,1.190537894277256
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,,,0,0.8928571428571428,0,1.190537894277256
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,,,0,0.8928571428571428,100,1.190537894277256
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,0,1.190537894277256
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,,,0,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,0.8928571428571428,100,1.190537894277256
Total,2000,Rural,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,0,1.190537894277256
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.8928571428571428,0,1.190537894277256
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,0.0,1,0.0,0,1.190537894277256
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,Completed,Mother Edu: Primary,,,0,0.8928571428571428,0,1.190537894277256
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,0.0,0.0,1,0.0,0,0.9196608161575189
Total,2000,Rural,North,Rich,Chinese-Tibetan,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,100,0.9196608161575189
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,100,0.9196608161575189
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Chinese-Tibetan,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Lao-Tai,,,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Richest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: YES,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,"Other, DK, Missing",Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Female,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,1.0,1,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Urban,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,0.9196608161575189
Total,2000,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,0.0,100,0.9196608161575189
Total,2000,Urban,North,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Higher,0.0,1.0,1,7.563025210084033,100,0.9196608161575189
Total,2000,Urban,North,Poorest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,100,0.9196608161575189
Total,2000,Urban,North,Poorest,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Primary,,,0,0.0,0,0.9196608161575189
Total,2000,Urban,North,Poor,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Secondary,,,0,7.563025210084033,100,0.9196608161575189
Total,2000,Urban,North,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,100,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Female,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Secondary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,1.0,1,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: YES,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.0,0,0.9196608161575189
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,,0,0.9196608161575189
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,100,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.8928571428571428,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,0.0,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Richest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,80.55555555555556,0,0.9196608161575189
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Completed,Mother Edu: None/ECE,,,0,7.563025210084033,0,0.9196608161575189
