Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch,stunting_ch,wasting_ch,overweight_ch,chweight
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,100,,,5.0,,6.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,1.3498812274604102
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.088459099056606
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,0,0,100,100,100,0,0,0.0,,3.0,,6.0,0,0,100,100,100.0,0,100,0,0.0,100.0,0.0,100.0,2.088459099056606
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,0,100,0,0,100,,,,,4.0,0,0,100,0,,0,0,0,,0.0,0.0,0.0,2.088459099056606
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,2.088459099056606
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,0,0,0,100,0,100,0,0.0,,,,,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.088459099056606
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,0,,,4.0,1.0,,0,0,100,0,,0,100,0,,100.0,100.0,0.0,2.088459099056606
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,0,0,100,100,0,100,100,,,3.0,1.0,3.0,0,0,100,0,,0,100,0,,,0.0,100.0,2.088459099056606
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,100.0,2.088459099056606
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,100,0,0,0,0,0,100,0,100,0.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.7252959142388054
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.7252959142388054
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.7252959142388054
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.7252959142388054
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,0,,5.0,,,1.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,1.7252959142388054
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,100,100.0,6.0,6.0,,6.0,0,0,100,100,100.0,0,100,100,100.0,100.0,100.0,0.0,1.7252959142388054
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.2601549818036466
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,0,0,0,,,100,0,100,100,100,100,0,100.0,5.0,5.0,,5.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,1.2601549818036466
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,100,,3.0,3.0,,4.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,1.9172739270027859
Total,2017,Urban,Central,Richest,"Other, DK, Missing",Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,100,100,0,100,100,100,100,100.0,,,,7.0,0,0,100,100,100.0,0,0,0,0.0,0.0,,,1.9172739270027859
Total,2017,Urban,Central,Richest,"Other, DK, Missing",Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,100,100,0,100,100,100,100,100.0,,,,7.0,0,0,100,100,100.0,0,0,0,0.0,0.0,0.0,0.0,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,0,,,100,0,100,0,0,0,0,0.0,7.0,,,2.0,0,0,100,100,100.0,0,100,0,0.0,0.0,0.0,0.0,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,,,,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,0,0.0,6.0,,,7.0,0,0,100,100,100.0,0,100,0,0.0,0.0,0.0,0.0,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,0,,0.0,0,0,100,100,0,0,100,0.0,6.0,,,7.0,0,0,100,100,100.0,0,100,0,0.0,0.0,,,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,,,,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,0,100.0,,5.0,1.0,4.0,0,100,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,0,,,3.0,1.0,3.0,0,0,100,0,,0,100,0,,,,,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,,,,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,0,,,1.0,,4.0,0,0,100,0,,0,0,0,,,,,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,100,,,3.0,,7.0,0,0,100,0,,0,100,0,,0.0,0.0,100.0,1.9172739270027859
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.6777579373174405
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,100,100,100,100,100,100,100,,7.0,7.0,,3.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,1.6777579373174405
Total,2017,Urban,Central,Richest,"Other, DK, Missing",Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,0,100,100,0,0,0,,,100,0,100,100,0,100,100,100.0,5.0,,,1.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,1.6777579373174405
Total,2017,Urban,Central,Rich,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,0,0,100,100,0,,,,,1.0,0,0,0,0,,0,0,0,,0.0,0.0,100.0,1.6777579373174405
Total,2017,Urban,Central,Rich,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,0,100,0,100,0.0,,0,0,100,0,0,0,0,,3.0,,,,0,0,0,0,,0,100,0,,0.0,0.0,0.0,1.6777579373174405
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,0,,,100,0,100,100,0,100,100,100.0,4.0,,,3.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,2.7544637723778074
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,100,,6.0,6.0,,7.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,2.7544637723778074
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,,,2.7544637723778074
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,2.7544637723778074
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,0,,5.0,5.0,,7.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,2.7544637723778074
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,,,2.7544637723778074
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,100,100.0,3.0,2.0,2.0,4.0,0,100,100,0,100.0,100,100,0,100.0,100.0,0.0,0.0,2.7544637723778074
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,,,2.7544637723778074
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,2.7544637723778074
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,0,100,0,0,0.0,,4.0,,3.0,0,0,100,100,100.0,0,100,0,0.0,0.0,0.0,0.0,1.2481323609746575
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.2481323609746575
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,100,,,5.0,,1.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,1.2481323609746575
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.2481323609746575
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,1.2481323609746575
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.2481323609746575
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,100,100.0,,6.0,,3.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,0.8331011706619248
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,0.8331011706619248
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,0,0,,,5.0,,2.0,0,0,100,0,,0,100,0,,100.0,0.0,0.0,0.8331011706619248
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,0,100,0,100,,5.0,2.0,,5.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,0.8331011706619248
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,100,0,100,100.0,7.0,,,6.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,0.8331011706619248
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,100,0,0,,,100,0,100,100,100,100,100,100.0,3.0,,,4.0,100,0,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,0.8331011706619248
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,0,,0.0,100,0,0,0,0,0,0,0.0,,,,4.0,0,0,100,100,100.0,0,0,0,0.0,0.0,0.0,0.0,2.2189877927476434
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.2189877927476434
Total,2017,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,0,100,0,100,0.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,2.2189877927476434
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.2189877927476434
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,100,100.0,7.0,2.0,1.0,2.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,2.2189877927476434
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.2189877927476434
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,100,,7.0,7.0,,2.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,100,100,100,100,100,0,,2.0,,2.0,1.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,100,100.0,5.0,3.0,,7.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,2.1352855362551844
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,100,0,0,,,100,0,0,100,100,100,0,100.0,,,,4.0,0,100,100,0,100.0,100,0,0,100.0,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,100,,,6.0,,5.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,100,0,0,100,0,100,100,,,,,5.0,0,0,100,0,,0,0,0,,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,100,100.0,,4.0,,4.0,0,100,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,0,0,100,100,0,0,0,,,1.0,,1.0,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.6623290606632375
Total,2017,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,0,100.0,7.0,,,4.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,1.6623290606632375
