Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,WAZ_WHO,HAZ_WHO,WHZ_WHO,Flag_WHO,FLAG_HAZ,FLAG_WHZ,stunting_ch,wasting_ch,overweight_ch,CHWEIGHT
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,1.1892693278125306
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,-4.502,-5.417,-1.714,,No error,No error,100.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,-1.778,-1.8,-1.094,,No error,No error,0.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,100,0,0,0,0,0,100,0,100,0.0,,1.17,-8.44,,"HAZ, WHZ",Error flag,Error flag,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,100,,0.0,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,-1.265,3.823,-5.193,WHZ,No error,Error flag,0.0,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,100,0,0,,100.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,"Other, DK, Missing",Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,"Other, DK, Missing",Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,0,0,100,0,100,100,100,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,0,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,0,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,100,0,,100.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,100,0,,100.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,0.067,-1.684,1.652,,No error,No error,0.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,100,100,100,,100.0,-1.254,-2.24,-0.235,,No error,No error,100.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,0,100,,100.0,-0.898,-0.819,-0.681,,No error,No error,0.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,"WAZ, HAZ, WHZ",Error flag,Error flag,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,-0.193,-0.943,0.596,,No error,No error,0.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,-1.904,-3.774,0.644,,No error,No error,100.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,-1.262,-1.253,-0.791,,No error,No error,0.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,-1.191,-1.666,-0.379,,No error,No error,0.0,0.0,0.0,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,100,0,0,0,0,0,0,100,100,0.0,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,100,0,0,0,0,0,0,0,100,0.0,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,100,0,100,,100.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,100,,0.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,100,0,0,100,100,100,0,0,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,0,100,100,100,100.0,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,0,100,0,0,0.0,,,,,,No error,No error,,,,1.1892693278125306
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,100,,,,,,,No error,No error,,,,1.1892693278125306
